	NC_009057	NC_009058	NC_009059	NC_009060	NC_009062	NC_009063	NC_009064	NC_009065	NC_009066	NC_009067	NC_009459	NC_010205	NC_011168	NC_011169	NC_011170	NC_011171	NC_011177	NC_011179	NC_012055	NC_013564	NC_013577	NC_013663	NC_013750	NC_018814	NC_018815
NC_011170	0.690334	0.6634994999999999	0.7598235	0.765575	0.6595525	0.678488	0.703665	0.74795	0.8338414999999999	0.845854	0.852598	0.852541	0.690252	0.6134539999999999	0.0171892	0.6998964999999999	0.6971685	0.6980409999999999	0.823012	0.833627	0.82455	0.6751145000000001	0.65577	0.677128	0.6743094999999999
NC_011171	0.564146	0.6722360000000001	0.765648	0.8023905	0.596348	0.5779920000000001	0.690303	0.7323175	0.8390035	0.837609	0.8508534999999999	0.8471965	0.6867494999999999	0.6712245	0.6998964999999999	0.0170657	0.7021824999999999	0.740633	0.8074885	0.813292	0.832216	0.53692	0.529961	0.551518	0.5854360000000001
NC_011177	0.65932	0.694348	0.7376259999999999	0.771137	0.7001839999999999	0.6781585	0.6689959999999999	0.762925	0.8441525	0.8443415	0.8186505	0.8468675	0.670531	0.6493519999999999	0.6971685	0.7021824999999999	0.0172267	0.650234	0.8449979999999999	0.8268265	0.8383195	0.636346	0.657105	0.6995169999999999	0.6714115
NC_011179	0.700294	0.708916	0.771402	0.807301	0.736413	0.6875565	0.698979	0.728449	0.825652	0.8238745000000001	0.8112625	0.830044	0.723141	0.711367	0.6980409999999999	0.740633	0.650234	0.0172581	0.8324165	0.8203205	0.835716	0.686266	0.6844060000000001	0.683532	0.686396
NC_012055	0.779775	0.832973	0.840292	0.8438950000000001	0.7699560000000001	0.809527	0.782176	0.7993825	0.799412	0.381247	0.7934645	0.7295775	0.8120545	0.8237384999999999	0.823012	0.8074885	0.8449979999999999	0.8324165	0.0167192	0.836429	0.885383	0.78009	0.781029	0.8199235	0.7726185
NC_013564	0.8077384999999999	0.825971	0.8697809999999999	0.8704345	0.8152325	0.827421	0.8371695	0.8427305	0.8939619999999999	0.8368629999999999	0.8395695000000001	0.868034	0.8199695	0.81004	0.833627	0.813292	0.8268265	0.8203205	0.836429	0.0168097	0.4992935	0.8002605	0.8127359999999999	0.825507	0.8038
NC_013577	0.8136545	0.8251055	0.8600965	0.866995	0.8135735	0.8381725	0.8319734999999999	0.866086	0.8909195	0.8866514999999999	0.868369	0.9045285	0.8490070000000001	0.8441479999999999	0.82455	0.832216	0.8383195	0.835716	0.885383	0.4992935	0.0169068	0.846903	0.8334745	0.841299	0.843765
NC_013663	0.289538	0.6219975	0.714852	0.7683355000000001	0.41322349999999997	0.398011	0.6286160000000001	0.730977	0.8325765	0.792362	0.7938725	0.8327555	0.6190865000000001	0.6467145000000001	0.6751145000000001	0.53692	0.636346	0.686266	0.78009	0.8002605	0.846903	0.0165995	0.249346	0.3792235	0.3928085
NC_013750	0.318879	0.6455945	0.7270055	0.7803610000000001	0.3997225	0.375729	0.655006	0.6950145	0.8221050000000001	0.7700015	0.790724	0.831317	0.632935	0.6376545	0.65577	0.529961	0.657105	0.6844060000000001	0.781029	0.8127359999999999	0.8334745	0.249346	0.0165985	0.366931	0.3752165
NC_018814	0.3898355	0.6896875	0.7124205	0.7517475	0.367769	0.219852	0.6809035	0.7508520000000001	0.838549	0.7740724999999999	0.808142	0.808943	0.6279064999999999	0.6297360000000001	0.677128	0.551518	0.6995169999999999	0.683532	0.8199235	0.825507	0.841299	0.3792235	0.366931	0.0166385	0.226415
NC_018815	0.408841	0.646461	0.725779	0.7671415	0.37365499999999996	0.2377965	0.6668045	0.720234	0.8093535000000001	0.7764420000000001	0.800699	0.830591	0.6075915000000001	0.6506955	0.6743094999999999	0.5854360000000001	0.6714115	0.686396	0.7726185	0.8038	0.843765	0.3928085	0.3752165	0.226415	0.0166365
