Name	Group	Organism	COX1_beg	COX1_end
NC_004398	Actinopterygii	Allocyttus niger	5438	7000
NC_004399	Actinopterygii	Neocyttus rhomboidalis	5435	6997
NC_004400	Actinopterygii	Hypoptychus dybowskii	5459	7009
NC_004401	Actinopterygii	Indostomus paradoxus	5560	7110
NC_004402	Actinopterygii	Dactyloptena tiltoni	5487	7037
NC_004403	Actinopterygii	Scalicus amiscus	5484	7034
NC_004404	Actinopterygii	Cottus reinii	5470	7020
NC_004405	Actinopterygii	Carangoides armatus	5507	7057
NC_004406	Actinopterygii	Caranx melampygus	5516	7066
NC_004407	Actinopterygii	Emmelichthys struhsakeri	5486	7036
NC_004408	Actinopterygii	Pterocaesio tile	5489	7039
NC_004409	Actinopterygii	Lycodes toyamensis	5646	7196
NC_004410	Actinopterygii	Pholis crassispina	5480	7030
NC_004411	Actinopterygii	Petroscirtes breviceps	5450	7012
NC_004412	Actinopterygii	Salarias fasciatus	5450	7012
NC_004413	Actinopterygii	Arcos sp. KU 149	5447	7024
NC_004414	Actinopterygii	Rhyacichthys aspro	5482	7035
NC_004415	Actinopterygii	Eleotris acanthopoma	5483	7036
NC_004416	Actinopterygii	Sufflamen fraenatum	5487	7037
NC_004417	Actinopterygii	Gymnothorax kidako	5430	7032
NC_004418	Actinopterygii	Polypterus senegalus senegalus	5419	6975
NC_004419	Actinopterygii	Polyodon spathula	5500	7053
NC_004420	Actinopterygii	Scaphirhynchus cf. albus	5505	7058
NC_004448		Alligator sinensis	5307	6884
NC_004449	Actinopterygii	Gadus chalcogrammus	5445	6995
NC_004530	Actinopterygii	Euthynnus alletteratus	6336	7886
NC_004537		Branchiostoma belcheri	6217	7764
NC_004538		Eudyptula minor	5402	6952
NC_004539		Anser albifrons	5412	6962
NC_004563	Mammalia	Muntiacus muntjak	5329	6873
NC_004575		Coturnix chinensis	6548	8098
NC_004577	Mammalia	Muntiacus crinifrons	5329	6873
NC_004590	Actinopterygii	Alepocephalus tenebrosus	5464	7014
NC_004591	Actinopterygii	Lipolagus ochotensis	6081	7631
NC_004592	Actinopterygii	Dallia pectoralis	5434	6984
NC_004593	Actinopterygii	Esox lucius	5440	6990
NC_004594	Actinopterygii	Galaxias maculatus	5452	7002
NC_004595	Actinopterygii	Glossanodon semifasciatus	5475	7025
NC_004596	Actinopterygii	Nansenia ardesiaca	5470	7020
NC_004597	Actinopterygii	Platytroctes apus	5464	7014
NC_004598	Actinopterygii	Retropinna retropinna	5520	7070
NC_004599	Actinopterygii	Salangichthys microdon	5488	7038
NC_004600	Actinopterygii	Opisthoproctus soleatus	5487	7037
NC_004692	Actinopterygii	Apteronotus albifrons	5453	7012
NC_004693	Actinopterygii	Chanos chanos	5515	7065
NC_004694	Actinopterygii	Sarcocheilichthys variegatus microoculus	5486	7036
NC_004695	Actinopterygii	Cobitis striata	5460	7010
NC_004696	Actinopterygii	Lefua echigonia	5462	7012
NC_004697	Actinopterygii	Tachysurus tokiensis	5473	7023
NC_004698	Actinopterygii	Corydoras rabauti	5448	7007
NC_004699	Actinopterygii	Phenacogrammus interruptus	5457	7004
NC_004700	Actinopterygii	Chalceus macrolepidotus	5490	7046
NC_004701	Actinopterygii	Eigenmannia sp. CBM-ZF-10620	5465	7025
NC_004702	Actinopterygii	Gonorynchus greyi	5512	7059
NC_004742	Actinopterygii	Amia calva	5520	7070
NC_004743	Actinopterygii	Acipenser transmontanus	5504	7057
NC_004744	Actinopterygii	Lepisosteus oculatus	5487	7043
NC_004901	Actinopterygii	Thunnus thynnus thynnus	5475	7025
NC_004919	Mammalia	Procavia capensis	5332	6872
NC_004920	Mammalia	Chrysochloris asiatica	5324	6865
NC_004921	Mammalia	Elephantulus sp. VB001	5306	6847
NC_004926		Andrias davidianus	5305	6855
NC_005034	Mammalia	Urotrichus talpoides	5367	6911
NC_005035	Mammalia	Mogera wogura	5373	6917
NC_005044	Mammalia	Capra hircus	5329	6873
NC_005055		Fejervarya limnocharis	9669	11204
NC_005089	Mammalia	Mus musculus	5328	6872
NC_005144	Actinopterygii	Notacanthus chemnitzii	5482	7044
NC_005145	Actinopterygii	Hiodon alosoides	5506	7065
NC_005146	Actinopterygii	Pagrus auriga	4395	5960
NC_005212	Mammalia	Acinonyx jubatus	6240	7784
NC_005251	Actinopterygii	Erpetoichthys calabaricus	5462	7018
NC_005252	Actinopterygii	Huso huso	5557	7110
NC_005254	Actinopterygii	Etheostoma radiosum	5478	7028
NC_005257	Actinopterygii	Carpiodes carpio	5487	7037
NC_005268	Mammalia	Balaena mysticetus	5367	6917
NC_005269	Mammalia	Caperea marginata	5360	6910
NC_005270	Mammalia	Eschrichtius robustus	5371	6921
NC_005271	Mammalia	Balaenoptera acutorostrata	5372	6922
NC_005272	Mammalia	Kogia breviceps	5362	6912
NC_005273	Mammalia	Hyperoodon ampullatus	5365	6915
NC_005274	Mammalia	Berardius bairdii	5360	6910
NC_005276	Mammalia	Inia geoffrensis	5368	6918
NC_005277	Mammalia	Pontoporia blainvillei	5368	6918
NC_005278	Mammalia	Lagenorhynchus albirostris	5366	6916
NC_005279	Mammalia	Monodon monoceros	5364	6914
NC_005298	Actinopterygii	Saccopharynx lavenbergi	11897	13445
NC_005299	Actinopterygii	Eurypharynx pelecanoides	10665	12213
NC_005313	Actinopterygii	Auxis rochei	6317	7867
NC_005314	Mammalia	Jaculus jaculus	5350	6894
NC_005315	Mammalia	Nannospalax ehrenbergi	5326	6870
NC_005316	Actinopterygii	Katsuwonus pelamis	6331	7881
NC_005317	Actinopterygii	Thunnus alalunga	6341	7891
NC_005318	Actinopterygii	Auxis thazard	6322	7872
NC_005358	Mammalia	Ochotona princeps	5333	6874
NC_005433	Mammalia	Rhinolophus monoceros	5347	6891
NC_005434	Mammalia	Rhinolophus pumilus	5348	6892
NC_005435	Mammalia	Sorex unguiculatus	5347	6891
NC_005436	Mammalia	Pipistrellus abramus	5331	6875
NC_005450	Actinopterygii	Sebastes schlegelii	5510	7061
NC_005451	Actinopterygii	Acipenser dabryanus	5503	7056
NC_005794		Duttaphrynus melanostictus	5532	7073
NC_005795	Actinopterygii	Acipenser stellatus	5506	7059
NC_005796	Actinopterygii	Pterothrissus gissu	5506	7062
NC_005797		Ambystoma mexicanum	5310	6857
NC_005798	Actinopterygii	Elops hawaiensis	5508	7103
NC_005799	Actinopterygii	Megalops cyprinoides	5506	7101
NC_005800	Actinopterygii	Albula glossodonta	5471	7024
NC_005801	Actinopterygii	Aldrovandia affinis	5484	7046
NC_005802	Actinopterygii	Ophisurus macrorhynchos	5514	7107
NC_005803	Actinopterygii	Elops saurus	5509	7104
NC_005804	Actinopterygii	Megalops atlanticus	5506	7101
NC_005805	Actinopterygii	Synaphobranchus kaupii	5510	7105
NC_005834	Actinopterygii	Psephurus gladius	5505	7058
NC_005836	Actinopterygii	Mola mola	5480	7033
NC_005837	Actinopterygii	Masturus lanceolatus	5480	7033
NC_005931		Strigops habroptilus	5377	6924
NC_005932		Ninox novaeseelandiae	5384	6934
NC_005933		Anseranas semipalmata	5394	6944
NC_005958		Abronia graminea	5341	6888
NC_005959		Shinisaurus crocodilurus	5793	7343
NC_005960		Sceloporus occidentalis	5281	6828
NC_005961		Rena humilis	5196	6743
NC_006082		Mauremys reevesii	5398	6945
NC_006131	Actinopterygii	Acanthogobius hasta	5469	7028
NC_006132		Pelodiscus sinensis	5416	6957
NC_006136	Actinopterygii	Carassius auratus x Cyprinus carpio	6402	7952
NC_006282		Rhineura floridana	5335	6882
NC_006284		Amphisbaena schmidti	5510	7045
NC_006285		Geocalamus acutus	5250	6785
NC_006286		Bipes tridactylus	5255	6790
NC_006287		Bipes biporus	5289	6824
NC_006288		Bipes canaliculatus	5274	6809
NC_006291	Actinopterygii	Carassius carassius	6402	7952
NC_006302		Ichthyophis glutinosus	5284	6834
NC_006303		Rhinatrema bivittatum	5367	6917
NC_006304		Scolecomorphus vittatus	5294	6844
NC_006305		Uraeotyphlus cf. oxyurus MW-212	5290	6840
NC_006326		Oedipina poelzi	5206	6753
NC_006327		Aneides flavipunctatus	5205	6752
NC_006328		Ensatina eschscholtzii	5228	6787
NC_006329		Eurycea bislineata	5265	6821
NC_006330		Ambystoma laterale	5309	6856
NC_006332		Pseudotriton ruber	5254	6807
NC_006333		Batrachoseps wrighti	5237	6784
NC_006334		Plethodon petraeus	5195	6745
NC_006335		Plethodon elongatus	5245	6784
NC_006336		Thorius n. sp. RLM-2004	5215	6756
NC_006337		Desmognathus wrighti	5224	6775
NC_006339		Desmognathus fuscus	5245	6798
NC_006340		Batrachoseps attenuatus	5465	7012
NC_006341		Gyrinophilus porphyriticus	5261	6805
NC_006342		Hemidactylium scutatum	5217	6764
NC_006344		Phaeognathus hubrichti	5289	6832
NC_006345		Hydromantes brunus	5695	7239
NC_006346		Bolitoglossa n. sp. RLM-2004	5202	6752
NC_006355	Actinopterygii	Chlorurus sordidus	5568	7116
NC_006364	Mammalia	Zaglossus bruijni	5388	6929
NC_006381	Actinopterygii	Pangasianodon gigas	5466	7016
NC_006382		Numida meleagris	6587	8137
NC_006387	Actinopterygii	Carassius auratus x Cyprinus carpio x Carassius cuvieri	6403	7953
NC_006398	Actinopterygii	Scomber scombrus	5510	7069
NC_006401	Actinopterygii	Myxocyprinus asiaticus	5491	7041
NC_006403		Hyla chinensis	5535	7076
NC_006404		Ichthyophis bannanicus	5296	6846
NC_006405		Kaloula pulchra	5545	7095
NC_006406		Microhyla heymonsi	5522	7072
NC_006407		Paramesotriton hongkongensis	5294	6853
NC_006464		Asymmetron lucayanum	1	1548
NC_006465		Epigonichthys maldivensis	1	1548
NC_006531	Actinopterygii	Anguilla anguilla	5493	7085
NC_006532	Actinopterygii	Anguilla australis australis	5492	7084
NC_006533	Actinopterygii	Anguilla australis schmidti	5496	7088
NC_006534	Actinopterygii	Anguilla bicolor bicolor	5494	7086
NC_006535	Actinopterygii	Anguilla bicolor pacifica	5489	7081
NC_006536	Actinopterygii	Anguilla malgumora	5495	7087
NC_006537	Actinopterygii	Anguilla celebesensis	5496	7088
NC_006538	Actinopterygii	Anguilla dieffenbachii	5499	7091
NC_006539	Actinopterygii	Anguilla interioris	5504	7096
NC_006540	Actinopterygii	Anguilla marmorata	5497	7089
NC_006541	Actinopterygii	Anguilla megastoma	5499	7091
NC_006542	Actinopterygii	Anguilla mossambica	5498	7090
NC_006543	Actinopterygii	Anguilla bengalensis labiata	5499	7091
NC_006544	Actinopterygii	Anguilla nebulosa nebulosa	5498	7090
NC_006545	Actinopterygii	Anguilla obscura	5496	7088
NC_006546	Actinopterygii	Anguilla reinhardtii	5495	7087
NC_006547	Actinopterygii	Anguilla rostrata	5490	7082
NC_006580	Actinopterygii	Carassius auratus auratus	6402	7952
NC_006688		Alytes obstetricans pertinax	5324	6874
NC_006689		Bombina orientalis	5336	6889
NC_006690		Discoglossus galganoi	5384	6937
NC_006818	Actinopterygii	Trachurus trachurus	5512	7062
NC_006835	Mammalia	Herpestes javanicus	5348	6892
NC_006839		Xenopus tropicalis	5395	6951
NC_006887		Ambystoma tigrinum tigrinum	5315	6862
NC_006888		Ambystoma andersoni	5311	6858
NC_006889		Ambystoma dumerilii	5311	6858
NC_006890		Ambystoma californiense	5314	6861
NC_006893	Mammalia	Crocidura russula	5346	6890
NC_006897	Actinopterygii	Oncorhynchus clarkii henshawi	6470	8020
NC_006900	Mammalia	Trachypithecus obscurus	5332	6876
NC_006901	Mammalia	Colobus guereza	5336	6880
NC_006913	Actinopterygii	Chirocentrus dorab	5455	7005
NC_006914	Mammalia	Mus musculus domesticus	5328	6872
NC_006915	Mammalia	Mus musculus molossinus	5330	6874
NC_006917	Actinopterygii	Jenkinsia lamprotaenia	5450	7000
NC_006918	Actinopterygii	Salanx ariakensis	5496	7046
NC_006919	Actinopterygii	Sundasalanx mekongensis	5454	7004
NC_006921		Latimeria menadoensis	5474	7018
NC_006922		Pogona vitticeps	5177	6724
NC_006923	Mammalia	Bradypus variegatus	5360	6913
NC_006924	Mammalia	Choloepus didactylus	5353	6894
NC_006925	Mammalia	Mystacina tuberculata	5342	6886
NC_006926	Mammalia	Balaenoptera bonaerensis	5370	6920
NC_006927	Mammalia	Megaptera novaeangliae	5375	6925
NC_006928	Mammalia	Balaenoptera brydei	5367	6917
NC_006929	Mammalia	Balaenoptera borealis	5368	6918
NC_006930	Mammalia	Eubalaena australis	5359	6909
NC_006931	Mammalia	Eubalaena japonica	5361	6911
NC_006973	Mammalia	Cervus nippon yesoensis	5331	6875
NC_006993	Mammalia	Cervus nippon centralis	5329	6873
NC_007006		Larus dominicanus	5375	6925
NC_007007		Gavia stellata	5413	6963
NC_007008		Teratoscincus scincus keyserlingii	5301	6857
NC_007009	Mammalia	Chlorocebus aethiops	5326	6865
NC_007011		Branta canadensis	5417	6967
NC_007012	Actinopterygii	Scleropages formosus	6472	8028
NC_007173	Chondrichthyes	Okamejei kenojei	5475	7031
NC_007174		Aphrodroma brevirostris	5410	6960
NC_007178		Rhacophorus schlegelii	13319	14872
NC_007179	Mammalia	Cervus nippon yakushimae	5338	6882
NC_007227		Alectura lathami	5431	6981
NC_007228	Actinopterygii	Synodus variegatus	5438	6988
NC_007229	Actinopterygii	Cobitis sinensis	5453	7003
NC_007230	Chondrichthyes	Plesiobatis daviesi	5503	7053
NC_007231	Actinopterygii	Oreochromis mossambicus	5482	7083
NC_007238		Gallus varius	6646	8196
NC_007239		Gallus lafayetii	6706	8256
NC_007240		Gallus sonneratii	6707	8257
NC_007393	Mammalia	Rousettus aegyptiacus	5347	6891
NC_007395	Actinopterygii	Merlangius merlangus	5443	6996
NC_007396	Actinopterygii	Melanogrammus aeglefinus	5448	6998
NC_007397		Ovophis okinavensis	6411	7956
NC_007398		Boa constrictor	6992	8537
NC_007399		Python regius	6174	7775
NC_007401		Cylindrophis ruffus	6357	7919
NC_007402		Xenopeltis unicolor	7120	8665
NC_007403	Actinopterygii	Cypselurus hiraii	5472	7025
NC_007439	Actinopterygii	Lates calcarifer	6329	7879
NC_007440		Limnonectes fujianensis	7265	8803
NC_007441	Mammalia	Pantholops hodgsonii	5326	6870
NC_007446		Andrias japonicus	5301	6851
NC_007598		Nisaetus nipalensis	9394	10944
NC_007599		Nisaetus alboniger	9705	11255
NC_007627		Gekko gecko	5377	6921
NC_007628		Cathartes aura	5411	6961
NC_007629	Mammalia	Lipotes vexillifer	5366	6916
NC_007630	Mammalia	Dasyurus hallucatus	5381	6922
NC_007691		Cygnus columbianus	8468	10018
NC_007692		Testudo graeca	5396	6943
NC_007693		Manouria emys	5400	6947
NC_007694		Stigmochelys pardalis	5407	6954
NC_007695		Indotestudo elongata	5390	6937
NC_007696		Indotestudo forstenii	5390	6937
NC_007697		Testudo horsfieldii	5397	6944
NC_007699		Testudo kleinmanni	5398	6945
NC_007700		Malacochersus tornieri	7413	8957
NC_007703	Mammalia	Rangifer tarandus	5329	6873
NC_007704	Mammalia	Cervus elaphus	5336	6880
NC_007783	Actinopterygii	Coreoleuciscus splendidus	5495	7045
NC_007784	Actinopterygii	Hemibarbus longirostris	5491	7041
NC_007785	Actinopterygii	Hemibarbus labeo	5494	7044
NC_007786	Actinopterygii	Hemibarbus mylodon	5492	7042
NC_007882	Actinopterygii	Kneria sp. SL-2004	5482	7032
NC_007883		Menura novaehollandiae	5393	6943
NC_007885	Actinopterygii	Rhodeus uyekii	5470	7020
NC_007887	Actinopterygii	Ranzania laevis	5478	7031
NC_007889	Actinopterygii	Denticeps clupeoides	5452	7002
NC_007890	Actinopterygii	Grasseichthys gabonensis	5472	7022
NC_007891	Actinopterygii	Parakneria cameronensis	5477	7027
NC_007892	Actinopterygii	Phractolaemus ansorgii	5490	7040
NC_007897		Taeniopygia guttata	5402	6952
NC_007911		Siphonops annulatus	5389	6942
NC_007936	Mammalia	Cricetulus griseus	5310	6854
NC_007937	Mammalia	Balaenoptera omurai	5362	6912
NC_007938	Mammalia	Balaenoptera edeni	5366	6916
NC_007939	Actinopterygii	Verasper variegatus	5500	7056
NC_007970		Platysternon megacephalum	9303	10850
NC_007975		Cnemotriccus fuscatus	5381	6931
NC_007978		Synthliboramphus antiquus	8468	10018
NC_007979		Phaethon rubricauda	9521	11071
NC_008064	Mammalia	Microtus levis	5302	6846
NC_008069		Branchiostoma japonicum	6216	7763
NC_008076		Hynobius amjiensis	5347	6897
NC_008077		Batrachuperus londongensis	5345	6895
NC_008078		Liua shihi	5352	6893
NC_008079		Hynobius leechii	5356	6906
NC_008080		Pachyhynobius shangchengensis	5330	6880
NC_008081		Liua tsinpaensis	5349	6899
NC_008082		Salamandrella keyserlingii	5359	6909
NC_008083		Batrachuperus pinchonii	5353	6903
NC_008084		Hynobius formosanus	5352	6902
