	NC_018052	NC_014288	NC_024102	NC_022729	NC_028341	NC_024110	NC_023455	NC_022732	NC_023361	NC_026208	NC_026696	NC_022821	NC_002012	NC_017882	NC_026210	NC_024862	NC_030254	NC_030328	NC_023521	NC_022193	NC_025954	NC_026871	NC_030216	NC_022841	NC_021963	NC_003137	NC_028537	NC_023948	NC_023266	NC_028337	NC_028344	NC_007173	NC_024059	NC_024599	NC_024937	NC_024276	NC_022148	NC_030271	NC_026774	NC_024570	NC_014284	NC_030189	NC_024284	NC_023505	NC_025942	NC_028339	NC_000893	NC_029324	NC_021443	NC_026307	NC_022822	NC_022691	NC_026216	NC_025778	NC_025512	NC_023951	NC_029493	NC_020611	NC_000890	NC_025520	NC_001950	NC_028343	NC_029843	NC_023525	NC_022679	NC_024596	NC_021442	NC_025578	NC_022415	NC_022819	NC_027182	NC_029399	NC_029480	NC_021132	NC_023808	NC_023527	NC_023116	NC_028325	NC_022735	NC_027497	NC_028338	NC_022731	NC_022837	NC_027521	NC_014292	NC_021615	NC_003136	NC_016429	NC_028342	NC_024101	NC_023944	NC_026287	NC_021768	NC_024055	NC_007230	NC_022730	NC_022733	NC_014281	NC_025498	NC_027081	NC_019641	NC_023522	NC_027649	NC_016686	NC_028340	NC_029400	NC_030215	NC_028508	NC_025328	NC_024269	NC_022734	NC_023520	NC_026285
NC_026696	0.9705	1.863	1.777	1.499	0.7182	1.493	1.288	1.469	0.7276	1.72	0.1221	1.551	1.352	1.394	1.637	0.6093	1.512	1.576	0.6292	0.8794	1.618	0.6513	1.032	1.572	1.628	1.289	1.345	0.6226	1.305	0.7425	0.7762	1.613	1.336	1.558	1.545	1.448	1.3	1.621	0.8966	1.727	1.729	1.334	0.6422	1.588	1.547	0.7226	1.572	1.572	1.256	1.488	1.16	1.428	1.242	0.8798	1.657	1.561	1.371	0.5761	0.8839	0.578	1.23	0.725	0.8373	1.683	0.8705	0.6058	1.289	1.463	1.332	0.6987	1.559	1.163	1.395	1.626	1.654	0.9092	1.601	1.672	1.057	1.685	0.7274	1.442	1.723	1.652	1.841	1.283	1.791	1.613	0.7261	1.423	1.659	0.6228	0.718	0.6039	1.643	1.52	1.485	1.734	1.647	0.5722	1.631	0.6034	1.663	1.337	0.7433	0.9058	1.587	0.9142	1.436	1.338	1.377	1.235	1.636
NC_022821	1.597	1.835	1.696	1.584	1.574	1.67	1.554	1.586	1.614	1.62	1.575	0.1224	1.614	1.583	1.522	1.548	1.038	1.504	1.557	1.576	1.49	1.551	1.568	1.128	1.545	1.515	1.592	1.543	1.553	1.565	1.58	1.548	1.54	1.521	1.308	1.592	1.617	1.604	1.556	1.567	1.778	1.599	1.554	1.501	1.4	1.575	1.514	1.538	1.517	0.972	1.552	1.696	1.611	1.501	1.621	1.097	1.528	1.55	1.598	1.515	1.618	1.592	1.564	1.587	1.511	1.586	1.61	1.6	1.547	1.593	0.7628	1.554	1.577	1.57	1.544	1.576	1.508	1.65	1.622	1.584	1.558	1.579	1.641	1.548	1.863	1.562	1.81	1.581	1.557	1.673	1.498	1.567	1.547	1.547	1.543	1.673	1.622	1.789	1.473	1.524	1.515	1.529	1.559	1.533	1.593	1.562	1.139	1.56	1.567	1.546	1.543	1.535	1.482
NC_002012	1.402	1.809	1.728	1.368	1.42	1.288	1.435	1.363	1.371	1.741	1.352	1.617	0.1224	1.425	1.634	1.372	1.573	1.691	1.32	1.455	1.69	1.372	1.331	1.518	1.641	1.291	0.5596	1.409	1.375	1.398	1.441	1.668	0.5691	1.577	1.555	1.223	1.414	1.709	1.373	1.715	1.772	1.432	1.364	1.605	1.597	1.347	1.646	1.622	1.336	1.526	1.289	1.456	1.308	1.404	1.665	1.539	1.466	1.348	1.381	1.37	1.368	1.363	1.332	1.682	1.379	1.422	1.37	1.227	1.429	1.428	1.619	1.351	1.557	1.683	1.7	1.396	1.686	1.717	1.328	1.666	1.391	1.382	1.714	1.613	1.854	1.375	1.769	1.64	1.431	1.469	1.629	1.356	1.353	1.379	1.674	1.412	1.43	1.768	1.705	1.332	1.692	1.362	1.683	1.43	1.397	1.442	1.604	1.356	1.188	1.36	0.8588	1.328	1.659
NC_017882	1.394	1.834	1.793	1.531	1.396	1.612	1.091	1.485	1.411	1.688	1.393	1.592	1.418	0.1213	1.653	1.341	1.598	1.604	1.332	1.35	1.661	1.378	1.386	1.563	1.691	1.377	1.388	1.325	1.415	1.42	1.438	1.695	1.409	1.632	1.545	1.479	1.227	1.704	1.439	1.706	1.728	1.15	1.373	1.688	1.552	1.376	1.651	1.704	1.363	1.569	1.346	1.521	1.4	1.373	1.646	1.622	1.164	1.388	1.348	1.408	1.387	1.377	1.385	1.687	1.34	1.384	1.407	1.526	1.4	1.361	1.541	1.437	1.219	1.719	1.675	1.465	1.677	1.729	1.417	1.719	1.404	1.497	1.742	1.695	1.828	1.375	1.815	1.606	1.417	1.561	1.651	1.385	1.43	1.358	1.711	1.52	1.512	1.735	1.702	1.375	1.721	1.367	1.653	0.7639	1.397	1.393	1.617	1.391	1.476	1.46	1.452	1.364	1.695
NC_026210	1.644	1.849	1.461	1.708	1.637	1.661	1.62	1.647	1.605	1.333	1.616	1.487	1.615	1.634	0.121	1.621	1.475	1.527	1.601	1.676	1.183	1.594	1.687	1.53	1.59	1.526	1.68	1.663	1.592	1.656	1.677	1.601	1.596	1.594	1.524	1.676	1.654	1.297	1.601	1.125	1.805	1.645	1.657	1.595	1.521	1.641	1.603	1.561	1.584	1.463	1.584	1.645	1.596	1.608	1.636	1.466	1.678	1.598	1.688	1.647	1.634	1.653	1.613	1.365	1.6	1.634	1.65	1.696	1.658	1.653	1.518	1.652	1.617	1.086	1.261	1.687	1.246	1.336	1.658	1.278	1.649	1.658	1.438	1.607	1.858	1.599	1.831	1.599	1.645	1.692	1.58	1.584	1.581	1.627	1.293	1.707	1.678	1.822	1.625	1.616	1.109	1.638	1.336	1.592	1.623	1.681	1.553	1.537	1.693	1.661	1.638	1.625	1.11
NC_024862	0.9992	1.841	1.736	1.562	0.7034	1.505	1.392	1.472	0.6955	1.718	0.6068	1.526	1.369	1.34	1.64	0.1221	1.583	1.566	0.5966	0.8856	1.58	0.6039	0.9959	1.588	1.618	1.275	1.336	0.6092	1.278	0.7104	0.7418	1.617	1.328	1.52	1.553	1.469	1.329	1.729	0.9008	1.726	1.718	1.381	0.625	1.608	1.548	0.6771	1.627	1.554	1.232	1.491	1.233	1.39	1.287	0.8439	1.629	1.528	1.312	0.5579	0.849	0.5665	1.208	0.6795	0.808	1.673	0.8432	0.5881	1.3	1.468	1.344	0.6858	1.525	1.194	1.374	1.613	1.68	0.9101	1.58	1.675	1.085	1.68	0.6886	1.42	1.696	1.583	1.818	1.244	1.788	1.607	0.6853	1.411	1.575	0.6271	0.6907	0.5943	1.67	1.504	1.519	1.717	1.611	0.5655	1.643	0.6063	1.695	1.349	0.7193	0.8914	1.588	0.8907	1.45	1.328	1.374	1.246	1.64
NC_030254	1.579	1.84	1.652	1.699	1.548	1.647	1.565	1.662	1.538	1.593	1.506	1.035	1.575	1.6	1.508	1.578	0.1224	1.53	1.551	1.525	1.471	1.481	1.589	1.09	1.559	1.486	1.538	1.503	1.575	1.512	1.539	1.55	1.509	1.473	1.388	1.614	1.57	1.636	1.566	1.544	1.769	1.55	1.573	1.567	1.408	1.549	1.545	1.542	1.58	1.051	1.549	1.692	1.504	1.536	1.624	1.161	1.553	1.514	1.604	1.54	1.586	1.549	1.525	1.613	1.525	1.538	1.588	1.667	1.6	1.566	1.039	1.583	1.535	1.578	1.509	1.593	1.49	1.624	1.629	1.626	1.505	1.64	1.624	1.582	1.866	1.508	1.831	1.469	1.512	1.692	1.549	1.546	1.562	1.528	1.574	1.634	1.615	1.769	1.6	1.559	1.568	1.531	1.637	1.582	1.572	1.584	0.9632	1.571	1.646	1.668	1.537	1.521	1.523
NC_030328	1.655	1.849	1.693	1.676	1.614	1.728	1.654	1.633	1.591	1.712	1.574	1.501	1.688	1.6	1.552	1.563	1.531	0.1221	1.594	1.598	1.595	1.589	1.664	1.499	1.214	1.584	1.659	1.605	1.576	1.609	1.629	1.267	1.671	1.267	1.506	1.658	1.616	1.704	1.612	1.676	1.801	1.673	1.549	1.225	1.179	1.549	1.283	1.245	1.589	1.494	1.585	1.647	1.592	1.587	1.621	1.554	1.621	1.605	1.603	1.587	1.613	1.568	1.58	1.658	1.624	1.632	1.608	1.709	1.618	1.606	1.536	1.711	1.633	1.649	1.675	1.626	1.653	1.754	1.676	1.72	1.598	1.658	1.706	1.239	1.839	1.601	1.792	1.181	1.592	1.755	1.221	1.629	1.546	1.627	1.679	1.708	1.674	1.812	1.254	1.581	1.657	1.621	1.69	1.576	1.646	1.628	1.571	1.564	1.701	1.614	1.629	1.682	1.655
NC_023521	1.013	1.817	1.754	1.527	0.7072	1.5	1.359	1.472	0.7156	1.683	0.6269	1.548	1.319	1.324	1.623	0.594	1.552	1.596	0.1221	0.8707	1.566	0.6072	0.9883	1.582	1.641	1.242	1.297	0.6015	1.324	0.719	0.7481	1.644	1.313	1.529	1.541	1.401	1.31	1.677	0.8924	1.718	1.715	1.338	0.6288	1.626	1.538	0.6914	1.579	1.601	1.221	1.491	1.2	1.396	1.3	0.8745	1.664	1.564	1.343	0.5426	0.8672	0.5545	1.209	0.6901	0.797	1.692	0.8585	0.5957	1.36	1.383	1.295	0.6982	1.579	1.16	1.386	1.617	1.617	0.8767	1.623	1.676	1.022	1.69	0.7001	1.459	1.708	1.606	1.835	1.303	1.762	1.633	0.7021	1.422	1.608	0.6328	0.6955	0.6	1.672	1.499	1.516	1.741	1.653	0.5708	1.66	0.6092	1.646	1.366	0.7246	0.9178	1.598	0.8927	1.365	1.291	1.384	1.256	1.663
NC_022193	1.088	1.788	1.754	1.513	0.8877	1.534	1.302	1.474	0.8751	1.757	0.8779	1.586	1.474	1.368	1.692	0.8924	1.53	1.627	0.8768	0.1226	1.603	0.8908	1.017	1.58	1.67	1.357	1.36	0.8668	1.294	0.9082	0.9517	1.687	1.441	1.57	1.593	1.489	1.349	1.732	0.9549	1.714	1.741	1.332	0.8942	1.643	1.613	0.8954	1.608	1.563	1.297	1.518	1.295	1.424	1.297	0.9338	1.671	1.631	1.345	0.8442	0.906	0.8332	1.275	0.9012	0.9355	1.677	0.9614	0.8696	1.277	1.51	1.357	0.943	1.595	1.298	1.451	1.681	1.611	0.9507	1.665	1.667	1.026	1.721	0.8888	1.523	1.708	1.661	1.845	1.326	1.78	1.652	0.8927	1.473	1.647	0.926	0.9044	0.8618	1.706	1.495	1.515	1.724	1.655	0.8572	1.682	0.8932	1.687	1.365	0.9058	0.9863	1.604	0.9285	1.484	1.386	1.348	1.298	1.658
NC_025954	1.689	1.857	1.466	1.728	1.604	1.736	1.656	1.668	1.63	1.414	1.636	1.508	1.704	1.67	1.267	1.598	1.501	1.614	1.586	1.615	0.1237	1.61	1.657	1.496	1.648	1.59	1.701	1.658	1.653	1.626	1.644	1.677	1.611	1.677	1.576	1.71	1.622	1.352	1.631	1.254	1.854	1.649	1.66	1.599	1.596	1.644	1.668	1.592	1.649	1.517	1.613	1.724	1.634	1.586	1.662	1.541	1.604	1.618	1.686	1.645	1.611	1.654	1.657	1.364	1.628	1.609	1.746	1.68	1.725	1.635	1.488	1.707	1.687	1.213	1.304	1.708	1.325	1.442	1.705	1.352	1.62	1.7	1.445	1.685	1.888	1.569	1.834	1.649	1.625	1.68	1.643	1.674	1.628	1.603	1.245	1.714	1.686	1.848	1.667	1.628	1.238	1.636	1.386	1.653	1.633	1.649	1.565	1.653	1.686	1.705	1.617	1.697	1.192
NC_026871	1.023	1.789	1.808	1.577	0.7197	1.496	1.33	1.453	0.7362	1.703	0.647	1.527	1.384	1.384	1.614	0.6064	1.495	1.598	0.6287	0.9014	1.597	0.1226	0.9974	1.558	1.587	1.278	1.38	0.646	1.29	0.7295	0.7665	1.621	1.405	1.508	1.58	1.455	1.282	1.708	0.9049	1.666	1.727	1.341	0.6499	1.589	1.594	0.7072	1.597	1.583	1.28	1.519	1.215	1.389	1.282	0.8722	1.667	1.567	1.317	0.5881	0.9069	0.5904	1.217	0.7068	0.8421	1.66	0.8628	0.6173	1.306	1.453	1.293	0.7318	1.54	1.266	1.382	1.645	1.691	0.9478	1.596	1.685	1.078	1.675	0.715	1.418	1.72	1.597	1.856	1.254	1.78	1.604	0.7141	1.364	1.576	0.6582	0.7243	0.6192	1.651	1.53	1.511	1.707	1.68	0.6029	1.618	0.6346	1.649	1.336	0.7486	0.9403	1.59	0.8994	1.43	1.35	1.407	1.227	1.654
NC_030216	1.11	1.838	1.804	1.473	1.026	1.537	1.397	1.453	1.037	1.767	1.035	1.552	1.332	1.388	1.708	0.9916	1.594	1.669	0.9878	1.013	1.642	0.9942	0.1226	1.59	1.646	1.322	1.293	0.9626	1.289	1.056	1.077	1.665	1.294	1.567	1.605	1.429	1.314	1.72	1.025	1.743	1.71	1.429	1.002	1.571	1.579	1.003	1.617	1.583	1.273	1.57	1.224	1.412	1.224	1.064	1.654	1.573	1.421	0.94	0.9443	0.9453	1.169	1.015	0.9982	1.683	1.036	0.9874	1.305	1.465	1.408	1.052	1.636	1.127	1.477	1.665	1.65	0.9813	1.733	1.709	0.8685	1.743	1.035	1.446	1.731	1.601	1.831	1.332	1.788	1.556	1.058	1.466	1.63	1.003	0.9983	0.9881	1.671	1.507	1.47	1.716	1.643	0.9697	1.656	1.008	1.718	1.387	1.071	1.1	1.63	1.069	1.446	1.377	1.394	1.276	1.679
NC_022841	1.556	1.824	1.656	1.656	1.603	1.639	1.58	1.626	1.554	1.605	1.568	1.114	1.518	1.56	1.559	1.586	1.09	1.496	1.584	1.583	1.466	1.557	1.581	0.1221	1.51	1.48	1.511	1.563	1.553	1.582	1.614	1.491	1.518	1.467	1.316	1.598	1.533	1.652	1.556	1.533	1.757	1.665	1.538	1.52	1.422	1.556	1.473	1.458	1.515	1.111	1.5	1.618	1.518	1.566	1.589	0.6722	1.587	1.62	1.599	1.597	1.664	1.567	1.539	1.6	1.549	1.565	1.538	1.628	1.596	1.549	1.099	1.64	1.642	1.543	1.552	1.602	1.538	1.614	1.628	1.596	1.574	1.67	1.632	1.576	1.83	1.501	1.798	1.462	1.552	1.601	1.557	1.584	1.588	1.556	1.57	1.656	1.68	1.761	1.571	1.592	1.5	1.636	1.644	1.629	1.599	1.528	1.231	1.575	1.597	1.573	1.554	1.509	1.527
NC_021963	1.652	1.823	1.744	1.756	1.657	1.703	1.668	1.671	1.623	1.713	1.627	1.542	1.637	1.689	1.608	1.617	1.563	1.208	1.634	1.652	1.622	1.574	1.641	1.497	0.1221	1.552	1.624	1.579	1.647	1.59	1.629	0.7792	1.661	1.28	1.502	1.681	1.724	1.719	1.591	1.708	1.763	1.717	1.632	0.6168	1.207	1.667	0.9386	0.7715	1.678	1.491	1.648	1.64	1.64	1.545	1.699	1.504	1.703	1.616	1.615	1.592	1.665	1.677	1.574	1.747	1.613	1.571	1.689	1.715	1.591	1.605	1.545	1.623	1.715	1.648	1.674	1.639	1.657	1.662	1.623	1.738	1.584	1.72	1.677	0.6227	1.867	1.556	1.814	0.929	1.598	1.704	0.6212	1.651	1.67	1.583	1.675	1.731	1.703	1.766	0.7457	1.615	1.619	1.679	1.676	1.661	1.703	1.65	1.674	1.635	1.693	1.604	1.629	1.654	1.644
NC_003137	1.382	1.759	1.71	1.468	1.299	1.399	1.365	1.364	1.29	1.675	1.301	1.516	1.294	1.382	1.569	1.279	1.502	1.583	1.238	1.345	1.569	1.278	1.322	1.48	1.589	0.1221	1.312	1.273	1.349	1.277	1.309	1.605	1.279	1.588	1.551	1.373	1.282	1.67	1.334	1.672	1.78	1.341	1.277	1.565	1.537	1.274	1.601	1.587	1.273	1.551	1.224	1.439	1.28	1.324	1.63	1.508	1.386	1.334	1.372	1.291	1.35	1.294	1.293	1.642	1.348	1.352	1.36	1.367	1.308	1.338	1.522	1.392	1.46	1.604	1.695	1.347	1.653	1.62	1.368	1.657	1.262	1.365	1.674	1.59	1.831	0.6809	1.77	1.579	1.28	1.415	1.543	1.291	1.321	1.36	1.652	1.484	1.489	1.758	1.622	1.21	1.626	1.331	1.598	1.347	1.315	1.346	1.575	1.309	1.339	1.361	1.385	1.26	1.648
NC_028537	1.378	1.8	1.733	1.372	1.426	1.303	1.404	1.311	1.404	1.723	1.35	1.599	0.575	1.397	1.69	1.34	1.541	1.666	1.305	1.357	1.69	1.378	1.293	1.518	1.634	1.313	0.1227	1.397	1.394	1.42	1.454	1.638	0.5962	1.57	1.547	1.233	1.399	1.715	1.359	1.671	1.787	1.493	1.342	1.618	1.587	1.426	1.61	1.628	1.286	1.568	1.33	1.427	1.289	1.411	1.654	1.508	1.467	1.385	1.32	1.376	1.396	1.427	1.308	1.62	1.416	1.369	1.358	1.236	1.43	1.382	1.657	1.354	1.467	1.631	1.68	1.345	1.711	1.712	1.316	1.725	1.411	1.375	1.719	1.605	1.825	1.321	1.788	1.59	1.408	1.489	1.625	1.364	1.438	1.398	1.686	1.415	1.412	1.774	1.702	1.333	1.635	1.395	1.674	1.475	1.413	1.45	1.581	1.323	1.205	1.349	0.8689	1.368	1.677
